slug	sido	name	dongs	alias
gyeonggi-gimpo	경기	김포	김포본동,장기동,구래동,운양동,마산동,사우동,풍무동,고촌읍,통진읍,양촌읍,대곶면,월곶면,하성면,걸포동,북변동	
gyeonggi-gwangmyeong	경기	광명	철산동,하안동,소하동,일직동,광명동,학온동,노온사동,가학동	
gyeonggi-gwangju	경기	광주	경안동,송정동,쌍령동,탄벌동,역동,목현동,오포읍,초월읍,곤지암,도척면,퇴촌면,남종면,남한산성면,능평동,태전동,장지동	곤지암
gyeonggi-gunpo	경기	군포	산본동,금정동,당동,당정동,부곡동,대야동,둔대동,속달동,오금동	
gyeonggi-hanam	경기	하남	신장동,덕풍동,풍산동,망월동,미사동,감일동,위례동,천현동,창우동,배알미동,상산곡동,교산동,춘궁동,초이동,감북동,광암동	미사,위례
gyeonggi-osan	경기	오산	오산동,원동,궐동,부산동,초평동,세교동,갈곶동,청학동,수청동,은계동,내삼미동,외삼미동,세마동,지곶동,서랑동,누읍동,가장동,벌음동	
gyeonggi-guri	경기	구리	갈매동,사노동,인창동,교문동,수택동,아천동,토평동	
daejeon-donggu	대전	대전 동구	중앙동,효동,판암동,용운동,대동,자양동,가양동,용전동,성남동,홍도동,삼성동,가오동,산내,낭월동,추동,세천동,신상동,신촌동	
daejeon-junggu	대전	대전 중구	은행동,선화동,목동,중촌동,대흥동,문창동,석교동,대사동,부사동,용두동,오류동,태평동,유천동,문화동,산성동,사정동,안영동	
daejeon-seogu	대전	대전 서구	둔산동,월평동,갈마동,탄방동,괴정동,가장동,내동,변동,용문동,도마동,정림동,복수동,가수원동,관저동,괴곡동,흑석동,도안동,평촌동,매노동,산직동,용촌동,봉곡동,장안동,세동,계산동	둔산
daejeon-yuseong	대전	대전 유성구	봉명동,구암동,상대동,원신흥동,궁동,어은동,구성동,노은동,지족동,하기동,죽동,갑동,신성동,가정동,도룡동,장동,방동,학하동,용계동,교촌동,송정동,복용동,덕명동,원내동,계산동,대정동,화암동,자운동,안산동,외삼동,반석동,봉산동,전민동,문지동,원촌동,탑립동,용산동,관평동,장대동	
daejeon-daedeok	대전	대전 대덕구	오정동,대화동,읍내동,연축동,법동,중리동,송촌동,비래동,석봉동,목상동,문평동,신탄진동,덕암동,상서동,평촌동,용호동,이현동,갈전동,부수동,장동,삼정동,신대동,와동	신탄진
sejong	세종	세종	한솔동,새롬동,도담동,아름동,종촌동,고운동,보람동,대평동,소담동,반곡동,다정동,어진동,나성동,해밀동,가람동,한별동,산울동,합강동,집현동,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면	
cheongju-sangdang	충북	청주 상당구	성안동,중앙동,탑동,영운동,금천동,용암동,용정동,운동동,남일면,낭성면,미원면,가덕면,문의면,명암동,산성동,월오동	
cheongju-seowon	충북	청주 서원구	사직동,사창동,모충동,산남동,분평동,수곡동,성화동,개신동,죽림동,남이면,현도면	
cheongju-heungdeok	충북	청주 흥덕구	운천동,신봉동,복대동,가경동,봉명동,송정동,강서동,비하동,석곡동,휴암동,오송읍,강내면,옥산면,내곡동,수의동	오송
cheongju-cheongwon	충북	청주 청원구	우암동,내덕동,율량동,사천동,오근장동,내수읍,북이면,오창읍,주성동,주중동,정상동,정북동,정하동	오창
jeju-jeju	제주	제주	일도동,이도동,삼도동,용담동,건입동,화북동,삼양동,봉개동,아라동,오라동,연동,노형동,외도동,이호동,도두동,도남동,한림읍,애월읍,구좌읍,조천읍,한경면,추자면,우도면	제주,제주도
jeju-seogwipo	제주	서귀포	송산동,정방동,중앙동,천지동,효돈동,영천동,동홍동,서홍동,대륜동,대천동,중문동,예래동,강정동,법환동,서호동,호근동,색달동,대정읍,남원읍,성산읍,안덕면,표선면	
gyeongbuk-pohang	경북	포항	죽도동,상대동,해도동,송도동,청림동,제철동,대송면,오천읍,연일읍,구룡포읍,호미곶면,동해면,장기면,효자동,지곡동,양학동,용흥동,우현동,학산동,두호동,환여동,장량동,흥해읍,신광면,청하면,송라면,기계면,죽장면,기북면	
gyeongbuk-gyeongju	경북	경주	성건동,황성동,용강동,동천동,중부동,황오동,월성동,선도동,건천읍,안강읍,감포읍,외동읍,내남면,산내면,서면,현곡면,강동면,천북면,양북면,양남면,보덕동	
gyeongbuk-gumi	경북	구미	송정동,원평동,도량동,형곡동,지산동,비산동,공단동,광평동,임오동,인동동,진미동,양포동,신평동,거의동,옥계동,구평동,오태동,임은동,장천면,산동읍,해평면,도개면,고아읍,무을면,옥성면,선산읍	
gyeongbuk-andong	경북	안동	중구동,명륜동,용상동,태화동,평화동,안기동,옥동,송하동,강남동,서후면,풍천면,일직면,남후면,남선면,임하면,길안면,임동면,예안면,도산면,녹전면,북후면,와룡면,풍산읍	
gyeongbuk-gyeongsan	경북	경산	중방동,중앙동,서부동,남부동,북부동,동부동,남천면,압량읍,진량읍,와촌면,자인면,용성면,남산면,하양읍,정평동,사동,옥산동,백천동,임당동,계양동	
gyeongbuk-gimcheon	경북	김천	평화남산동,양금동,대신동,대곡동,지좌동,부곡동,율곡동,아포읍,농소면,남면,개령면,감문면,어모면,봉산면,대항면,감천면,조마면,구성면,지례면,부항면,대덕면,증산면	
gyeongbuk-yeongju	경북	영주	영주동,휴천동,가흥동,상망동,하망동,문정동,풍기읍,안정면,봉현면,순흥면,단산면,부석면,장수면,문수면,평은면,이산면	
gyeongbuk-sangju	경북	상주	남성동,복룡동,계림동,동성동,신흥동,동문동,서문동,남원동,북문동,함창읍,중동면,낙동면,청리면,공성면,외남면,내서면,모동면,모서면,화동면,화서면,화북면,외서면,은척면,공검면,이안면,화남면	
gyeongbuk-yeongcheon	경북	영천	동부동,중앙동,서부동,완산동,남부동,금호읍,청통면,신녕면,화산면,화북면,화남면,자양면,임고면,고경면,북안면,대창면	
gyeongbuk-chilgok	경북	칠곡군	왜관읍,북삼읍,석적읍,지천면,동명면,가산면,약목면,기산면	
gyeongnam-changwon	경남	창원	팔용동,봉림동,명곡동,용지동,서성동,중앙동,교방동,동정동,소답동,북면,동읍,대산면,상남동,사파동,가음정동,남양동,반송동,웅남동,성주동,월영동,문화동,완월동,오동동,산호동,현동,진동면,진북면,진전면,회원동,회성동,석전동,양덕동,합성동,구암동,봉암동,내서읍,충무동,여좌동,태백동,경화동,석동,자은동,덕산동,웅천동,웅동	마산,진해,의창구,성산구,마산합포구,마산회원구,진해구
gyeongnam-gimhae	경남	김해	동상동,부원동,내외동,북부동,활천동,삼안동,불암동,진영읍,장유1동,장유2동,장유3동,주촌면,진례면,한림면,생림면,상동면,대동면,회현동,봉황동,외동,내동,구산동,삼방동,어방동,지내동,관동동,무계동,율하,삼계동	장유
gyeongnam-jinju	경남	진주	천전동,성북동,중앙동,상봉동,상대동,하대동,상평동,초장동,평거동,신안동,이현동,판문동,가호동,충무공동,문산읍,내동면,정촌면,금곡면,진성면,일반성면,이반성면,사봉면,지수면,대곡면,금산면,집현면,미천면,명석면,대평면,수곡면,망경동,주약동,강남동,칠암동,본성동,동성동,수정동,장대동,초전동	
gyeongnam-yangsan	경남	양산	중앙동,양주동,삼성동,강서동,서창동,소주동,평산동,덕계동,물금읍,동면,원동면,상북면,하북면,북정동,남부동,교동,다방동,명곡동,주진동,어곡동,호계동,신기동,중부동	웅상
gyeongnam-geoje	경남	거제	고현동,장승포동,능포동,아주동,옥포동,장평동,상문동,수양동,마전동,일운면,동부면,남부면,거제면,둔덕면,사등면,연초면,하청면,장목면,수월동,양정동,문동동	
gyeongnam-tongyeong	경남	통영	무전동,북신동,동호동,정량동,중앙동,항남동,도천동,명정동,태평동,인평동,평림동,미수동,봉평동,도남동,산양읍,용남면,도산면,광도면,욕지면,한산면,사량면	
gyeongnam-sacheon	경남	사천	동서동,남양동,향촌동,벌용동,동서금동,선구동,사천읍,정동면,사남면,용현면,축동면,곤양면,곤명면,서포면,벌리동,대방동,실안동,백천동,궁지동	
gyeongnam-miryang	경남	밀양	내일동,내이동,교동,삼문동,가곡동,삼랑진읍,하남읍,부북면,상남면,산외면,산내면,단장면,상동면,초동면,무안면,청도면,활성동	
gyeongnam-haman	경남	함안군	가야읍,칠원읍,함안면,군북면,법수면,대산면,칠서면,칠북면,산인면,여항면	
gyeongnam-geochang	경남	거창군	거창읍,주상면,웅양면,고제면,북상면,위천면,마리면,남상면,남하면,신원면,가조면,가북면	
